seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth,truth_key
7,IPW.fal,0.30228692722502465,-0.6977130727749754,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
7,OR,1.0326075778409343,0.032607577840934265,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
7,OR.fal,0.47064903082000636,-0.5293509691799936,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
7,DR,1.0400338629808448,0.04003386298084477,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
7,DR.ofal,0.7994944812890388,-0.20050551871096123,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
7,DR.pfal,1.0280465780154422,0.028046578015442192,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
7,DR.o&pfal,0.38380252811042603,-0.616197471889574,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
8,IPW,0.776261701999189,-0.22373829800081102,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
8,IPW.fal,0.2244491798963042,-0.7755508201036958,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
8,OR,0.9993895606293265,-0.0006104393706735101,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
8,OR.fal,0.43759443371605766,-0.5624055662839423,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
8,DR,0.9972066048541205,-0.002793395145879507,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
8,DR.ofal,0.8028935317018536,-0.19710646829814638,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
8,DR.pfal,1.0154170872042843,0.015417087204284252,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
8,DR.o&pfal,0.3354648661191517,-0.6645351338808483,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
9,IPW,1.3549891213586585,0.35498912135865845,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
9,IPW.fal,0.8231956339989879,-0.17680436600101213,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
9,OR,0.9613884026698584,-0.038611597330141634,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
9,OR.fal,1.034165067225356,0.03416506722535595,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
9,DR,0.9681325943142093,-0.03186740568579072,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
9,DR.ofal,1.3602756661433089,0.36027566614330886,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
9,DR.pfal,0.9625363627059174,-0.03746363729408264,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
9,DR.o&pfal,0.9945988514118068,-0.005401148588193183,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
10,IPW,0.5264001308488282,-0.4735998691511718,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
10,IPW.fal,-0.06103840079882195,-1.061038400798822,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
10,OR,0.759251924840203,-0.24074807515979701,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
10,OR.fal,0.13370547455706208,-0.866294525442938,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
10,DR,0.733963307182465,-0.26603669281753495,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
